uid,text
7bccd31315d7-1,Page 56. Circle
7bccd31315d7-2,"Listen, read."
7bccd31315d7-3,And draw. One day.
7bccd31315d7-4,Mohini was sitting with her grandmother.
7bccd31315d7-6,Grandmother drew a circle.
7bccd31315d7-7,Can you draw a circle Mohini?
7bccd31315d7-8,"Yes, I can."
7bccd31315d7-9,and soon Mohini drew a circle.
7bccd31315d7-10,Now I will draw a ball!
7bccd31315d7-11,Grandmother drew three lines on the circle.
7bccd31315d7-12,Mohini drew three lines on her circle.
7bccd31315d7-14,It really looked like a ball.
7bccd31315d7-15,"Um, now, let's draw a balloon!"
7bccd31315d7-16,Grandmother added a zigzag line to the circle.
7bccd31315d7-17,page 57
7bccd31315d7-18,"Oh, it really looks like a balloon. Mohini clapped with joy."
7bccd31315d7-19,Mohini drew many circles.
7bccd31315d7-20,Big and small circles.
7bccd31315d7-21,red blue
7bccd31315d7-22,green and yellow circles.
7bccd31315d7-23,She also added zigzag lines to these.
7bccd31315d7-25,"And now, there were many balloons."
7bccd31315d7-27,Can you draw something else with a circle? Asked her grandmother.
7bccd31315d7-29,Yes. Sad Mohini in excitement. She drew a wheel.
7bccd31315d7-30,a moon
7bccd31315d7-31,A sun.
7bccd31315d7-32,"a rabbit, and her own face."
7bccd31315d7-34,A Story by Manurama Jaffa
7bccd31315d7-36,New words
7bccd31315d7-37,ball blue
7bccd31315d7-38,Circle Lines
7bccd31315d7-39,Moon
7bccd31315d7-40,Let's read.
7bccd31315d7-41,I can draw a circle.
7bccd31315d7-42,The moon is round.
7bccd31315d7-43,Page 58
7bccd31315d7-44,Reading is fun.
7bccd31315d7-45,What did Grandmother and Mohini draw first?
7bccd31315d7-46,What were the colours of the balloons that Mohini drew?
7bccd31315d7-47,Let's draw.
7bccd31315d7-48,"In the circles below, draw"
7bccd31315d7-49,What Grandmother drew?
7bccd31315d7-50,What Mohini drew?
7bccd31315d7-51,Here you can see two circles to draw what the two drew.
7bccd31315d7-52,Look at these shapes.
7bccd31315d7-53,Triangle
7bccd31315d7-54,Square.
7bccd31315d7-55,Rectangle. Try making these shapes.
7bccd31315d7-56,into
7bccd31315d7-57,a car
7bccd31315d7-58,a house
7bccd31315d7-59,a door
7bccd31315d7-60,Anything else?
7bccd31315d7-61,Here you can see a picture of a house.
7bccd31315d7-62,"with windows, door"
7bccd31315d7-63,and a roof.
7bccd31315d7-64,page 59.
7bccd31315d7-65,Draw along the dots.
7bccd31315d7-66,"So, what did you make?"
7bccd31315d7-67,Can you make sounds like a train?
7bccd31315d7-68,Here you can connect the dots to make a fine picture of a train.
7bccd31315d7-69,Draw a face on the balloon below.
7bccd31315d7-70,One has been done for you!
7bccd31315d7-71,Here you can see picture of a balloon with a face drawn on it. Funny indeed?
7bccd31315d7-73,"And on the other one, there is no face drawn. So you have to draw it."
7bccd31315d7-75,Page 60
7bccd31315d7-76,Let's read and write.
7bccd31315d7-77,A
7bccd31315d7-78,B
7bccd31315d7-79,"C, D, E, F"
7bccd31315d7-80,Here are some alphabets given with the dots.
7bccd31315d7-81,Connect the dots to complete each alphabet.
7bccd31315d7-82,A
7bccd31315d7-84,B
7bccd31315d7-85,C D
7bccd31315d7-86,E
7bccd31315d7-87,F.
7bccd31315d7-88,Now G
7bccd31315d7-89,"H, I"
7bccd31315d7-90,"J, K"
7bccd31315d7-91,L
7bccd31315d7-92,Now connect the dots once again to make the letter.
7bccd31315d7-93,G
7bccd31315d7-94,H
7bccd31315d7-95,I
7bccd31315d7-96,J
7bccd31315d7-97,K
7bccd31315d7-98,L. Once again.
7bccd31315d7-99,M
7bccd31315d7-100,N
7bccd31315d7-101,O
7bccd31315d7-102,P
7bccd31315d7-103,Q
7bccd31315d7-104,R.
7bccd31315d7-105,"In the same way, connect the dots to complete each alphabet given here."
7bccd31315d7-106,M
7bccd31315d7-107,n
7bccd31315d7-108,O!
7bccd31315d7-109,P
7bccd31315d7-110,Q
7bccd31315d7-111,R
7bccd31315d7-112,page 61. Mango
7bccd31315d7-113,Nut Orange
7bccd31315d7-114,Peach
7bccd31315d7-115,"Knowing the words you just read, connect the dots to make the word mango."
7bccd31315d7-117,M
7bccd31315d7-118,A
7bccd31315d7-119,N
7bccd31315d7-120,G
7bccd31315d7-121,O
7bccd31315d7-122,"In the same way, connect the dots"
7bccd31315d7-123,to complete nut.
7bccd31315d7-124,N
7bccd31315d7-125,U
7bccd31315d7-126,T
7bccd31315d7-127,"and then orange, o"
7bccd31315d7-128,R
7bccd31315d7-129,a n
7bccd31315d7-130,g
7bccd31315d7-131,E
7bccd31315d7-132,and now P
7bccd31315d7-133,E
7bccd31315d7-134,A C
7bccd31315d7-135,H
7bccd31315d7-136,peach
7bccd31315d7-137,Now look at the picture and fill in the blanks.
7bccd31315d7-138,Here you can see picture of a dog.
7bccd31315d7-139,a bull
7bccd31315d7-140,an elephant
7bccd31315d7-141,an owl
7bccd31315d7-142,"a horse, and a cat."
7bccd31315d7-143,Now fill in the blanks.
7bccd31315d7-144,D
7bccd31315d7-145,dash dash B
7bccd31315d7-146,Dash. Dash. Dash. e
7bccd31315d7-147,dash dash dash dash dash dash dash o
7bccd31315d7-148,dash dash
7bccd31315d7-149,H dash
7bccd31315d7-150,dash dash dash c
7bccd31315d7-151,"dash, dash"
006faf1f7c93-0,Page 53
006faf1f7c93-1,Unit 5
006faf1f7c93-2,Merry go round.
006faf1f7c93-3,"Listen, sing and dance."
006faf1f7c93-4,I climb up on the merry-go-round.
006faf1f7c93-5,And it went round and round.
006faf1f7c93-6,I climb up on a big brown horse and it went up and down.
006faf1f7c93-7,"around and round and up and down,  around and round and up and down"
006faf1f7c93-8,I set high up on a big brown horse.
006faf1f7c93-9,and rode around.
006faf1f7c93-10,"On the merry go round, I rode around."
006faf1f7c93-12,"On the merry-go-round, a round and round and round."
006faf1f7c93-13,By Dorothy W. Baruch
006faf1f7c93-14,New words learnt from the poem.
006faf1f7c93-15,Around. Down.
006faf1f7c93-16,In
006faf1f7c93-17,on. out.
006faf1f7c93-18,Round
006faf1f7c93-19,Up.
006faf1f7c93-20,Now let's read. I ride.
006faf1f7c93-21,on a horse.
006faf1f7c93-22,page 54
006faf1f7c93-23,Reading is fun.
006faf1f7c93-24,How did the merry go round go?
006faf1f7c93-25,How did the big brown horse go?
006faf1f7c93-26,Let's talk!
006faf1f7c93-27,Have you seen a merry go round?
006faf1f7c93-28,Where have you seen it? Would you like to go to a fair?
006faf1f7c93-30,Let's share!
006faf1f7c93-31,Look at this picture and describe the fare.
006faf1f7c93-32,talk about the things you enjoy at a fair.
006faf1f7c93-33,Here you can see a picture of kids riding various rides on a fair.
006faf1f7c93-35,Kids raising balloons.
006faf1f7c93-36,and vendors selling various toys to the kids.
006faf1f7c93-37,Page 55
006faf1f7c93-38,Go round the merry go round.
006faf1f7c93-39,Circle the letters and say them aloud.
006faf1f7c93-40,Here in the picture you can see kids riding on a merry-go-round on horses.
006faf1f7c93-42,"But on the merry go round, you can also see a lot of letters."
006faf1f7c93-43,Circle the letters and say them out loud.
62e79450f3da-1,Page number 105
62e79450f3da-2,Unit 7. Reside this poem.
62e79450f3da-3,On my blackboard I can draw.
62e79450f3da-4,"On my blackboard, I can draw."
62e79450f3da-5,One little house with one green door.
62e79450f3da-6,Two brown gates that open wide.
62e79450f3da-7,3 red steps that lead inside.
62e79450f3da-8,four little chimneys painted white.
62e79450f3da-9,Five little windows shining bright.
62e79450f3da-10,6 yellow marigolds straight and tall growing up against the wall.
62e79450f3da-11,New words.
62e79450f3da-12,gates
62e79450f3da-13,LEAD
62e79450f3da-14,chimney
62e79450f3da-15,Marygolds Straight
62e79450f3da-16,Page number 106. Reading is fun.
62e79450f3da-17,How many windows does the house have in this poem?
62e79450f3da-18,Where do the merrygolds grow?
62e79450f3da-19,Say aloud. Draw.
62e79450f3da-20,Drain
62e79450f3da-21,drip brown
62e79450f3da-22,Brain
62e79450f3da-23,Brick
62e79450f3da-24,three
62e79450f3da-25,Throw
62e79450f3da-26,Thread
62e79450f3da-27,Grow
62e79450f3da-28,grapes Great!
62e79450f3da-29,Let's listen. Every room becomes dirty.
62e79450f3da-30,If not cleaned.
62e79450f3da-31,Let's clean our classroom while singing this poem.
62e79450f3da-32,I'm going to sweep the dirt away.
62e79450f3da-33,I'm going to sweep the dirt away.
62e79450f3da-34,I'm going to sweep the dirt away.
62e79450f3da-35,woosh woosh woosh
62e79450f3da-36,By Rose Fyleman
62e79450f3da-37,page 107 Let's write.
62e79450f3da-38,These are the two rooms of the house. Color them.
62e79450f3da-39,Based on this activity complete the paragraphs.
62e79450f3da-40,Here you can see a picture of a beautiful room.
62e79450f3da-41,"Only if you can color it, you can find out many items like a bed."
62e79450f3da-42,A pillow A teddy bear
62e79450f3da-43,"Some pictures of window, curtain, chair and a lot many things."
62e79450f3da-44,and now finish the sentences.
62e79450f3da-45,This is my dash. It has dash window.
62e79450f3da-46,The color of my bed is......dash!
62e79450f3da-47,There are dash pictures on the wall.
62e79450f3da-48,Now here is a picture of a room again with a sofa set.
62e79450f3da-49,TV curtain
62e79450f3da-50,Tube light
62e79450f3da-51,A bulb and so on. Now finish the sentences.
62e79450f3da-52,to complete the picture. This is a dash.
62e79450f3da-53,It has dash in it. We watch dash here.
62e79450f3da-54,It has dash curtains. It has dash table. Page.
62e79450f3da-55,108
62e79450f3da-56,Using the pictures as clues fill in the blanks. Here is a picture of a Bee
62e79450f3da-57,He is as busy as a dash.
62e79450f3da-58,"Then again, there is a picture of a snail."
62e79450f3da-59,Raj is as slow as a dash.
62e79450f3da-60,There is a picture of a feather. This pen is as light as a dash.
62e79450f3da-61,Now here is a picture of a night sky.
62e79450f3da-62,My hair is as black as dash.
62e79450f3da-63,Ask your friend to keep his mouth wide open.
62e79450f3da-64,And here you can see a kid with his mouth wide open.
62e79450f3da-65,Keep his mouth half shut. Here you can see a boy with his mouth half shut.
62e79450f3da-66,and keep his mouth fully shut. And here you can see a picture of a boy with his mouth tightly shut.
62e79450f3da-67,Ask someone to close the door using the words.
62e79450f3da-68,Wide open half shot
62e79450f3da-69,and fully shut. Page number
62e79450f3da-70,109
62e79450f3da-71,Find the right sentence.
62e79450f3da-72,"Read the pairs of sentences below, fill in the blanks in the second sentence with the opposite of the word in red."
62e79450f3da-73,In the first picture you can see a boy running or walking outside the school.
62e79450f3da-74,The boy is running very fast.
62e79450f3da-75,The boy is walking very dash.
62e79450f3da-76,In the second picture you can see a clown hanging upside down.
62e79450f3da-77,The clown is very happy.
62e79450f3da-78,The clone is very... dash
62e79450f3da-79,In the third picture you can see a girl walking on a rope.
62e79450f3da-80,The girl is walking on a loose rope.
62e79450f3da-81,The girl is walking on a dash rope.
62e79450f3da-82,Page number 110
62e79450f3da-83,Change from singular to plural by adding
62e79450f3da-84,E S I E S
62e79450f3da-85,V E S
62e79450f3da-86,For example
62e79450f3da-87,"Buffalo, Buffaloes"
62e79450f3da-88,baby babies
62e79450f3da-89,Knife Knives
62e79450f3da-90,Hero dash.
62e79450f3da-91,fly dash
62e79450f3da-92,Wolf. Dash.
62e79450f3da-93,"Potato, dash."
62e79450f3da-94,"Lady, dash"
62e79450f3da-95,loaf dash
62e79450f3da-96,Fun time!
62e79450f3da-97,Can you crawl like a baby?
62e79450f3da-98,crawl crawl crawl
62e79450f3da-99,Can you hope like it grass open?
62e79450f3da-100,"Hop, hop, hop!"
62e79450f3da-101,Can you zoom like an aeroplane?
62e79450f3da-102,"Zoom, zoom, zoom"
1cc162c590dc-1,page 124.
1cc162c590dc-2,Let's write!
1cc162c590dc-5,The giant saw me.
1cc162c590dc-6,The farmer's wife was stroking the cat when her one year old son entered.
1cc162c590dc-7,Both the actions were in the past.
1cc162c590dc-8,When the first one was going on in the past
1cc162c590dc-9,The second one happened. One.
1cc162c590dc-10,Match the following and write complete sentences in the lines below.
1cc162c590dc-11,What was happening?
1cc162c590dc-12,What happened?
1cc162c590dc-14,What happened?
1cc162c590dc-15,I was writing a letter. Two.
1cc162c590dc-16,Paul was looking out of the window.  3
1cc162c590dc-17,Paul was looking out of the window.  3
1cc162c590dc-18,I was just completing the last answer.
1cc162c590dc-19,5
1cc162c590dc-20,The man was painting the wall. 6
1cc162c590dc-21,Amit was doing his homework. 7
1cc162c590dc-22,My mother was cooking dinner.
1cc162c590dc-23,What happened?
1cc162c590dc-24,The lights went out.
1cc162c590dc-25,The bell rang. He noticed a lovely...
1cc162c590dc-26,Butterfly
1cc162c590dc-27,He fell off the ladder. I met Arun.
1cc162c590dc-29,My pen ran out.
1cc162c590dc-30,"Ma'am said, stop writing."
1cc162c590dc-31,1
1cc162c590dc-32,I was writing a letter when?
1cc162c590dc-33,blank 2
1cc162c590dc-34,blank 3
1cc162c590dc-35,"When I met Arun, he was looking for his dog. Blank."
1cc162c590dc-36,Please note that sometimes the order of the sentences changes. For example
1cc162c590dc-37,"When I met Arun, he was looking for his dog."
1cc162c590dc-39,Now you make your own sentences in the space provided.
1cc162c590dc-40,2
1cc162c590dc-41,Now complete the following suitably. 1
1cc162c590dc-42,I was sitting in a taxi yesterday when... Blank!
1cc162c590dc-43,2. He was...
1cc162c590dc-44,Cleaning out his cupboard when.  BLANK
1cc162c590dc-45,3 blank
1cc162c590dc-46,a dog ran out onto the road.
1cc162c590dc-47,4
1cc162c590dc-48,"Blank, the teacher walked into the room."
1cc162c590dc-50,3
1cc162c590dc-51,"When we compare two things, all people, we add er or more."
1cc162c590dc-52,to the describing word.
1cc162c590dc-53,when we compare three or more things.
1cc162c590dc-54,or people we add...
1cc162c590dc-55,EST
1cc162c590dc-56,or most.
1cc162c590dc-57,to the describing word.
1cc162c590dc-58,Look at the following examples. When first do our compared?
1cc162c590dc-59,and when all three are compared.
1cc162c590dc-60,Fast Faster
1cc162c590dc-61,Fastest
1cc162c590dc-62,The sailboat is fast.
1cc162c590dc-63,The car is faster than the sailboat.
1cc162c590dc-64,The aeroplane is the fastest of all.
1cc162c590dc-65,Difficult? More difficult?
1cc162c590dc-66,most difficult.
1cc162c590dc-67,Page 126.
1cc162c590dc-68,Hitting a target is difficult.
1cc162c590dc-69,Juggling caps is more difficult.
1cc162c590dc-70,then hitting a target.
1cc162c590dc-71,Doing complicated magic tricks is the most difficult of them all.
1cc162c590dc-72,"Now, complete the following in the same way using the words easy or strong. 1"
1cc162c590dc-73,skipping is blank.
1cc162c590dc-74,Jumping is...
1cc162c590dc-75,blank then skipping.
1cc162c590dc-76,Walking is the Blank of all
1cc162c590dc-77,2
1cc162c590dc-78,The dog is blank.
1cc162c590dc-79,The horse is blank.
1cc162c590dc-80,The elephant is blank.
1cc162c590dc-81,Now complete the following in the same way.
1cc162c590dc-82,"Using the words, Juicy"
1cc162c590dc-83,or exciting
1cc162c590dc-84,The order may vary according to your choice. Apple
1cc162c590dc-85,orange.
1cc162c590dc-86,Sugar cane
1cc162c590dc-87,Rock climbing
1cc162c590dc-88,skiing
1cc162c590dc-89,river rafting
1cc162c590dc-90,4
1cc162c590dc-91,Correct the use of the describing words in the following sentences. 1.
1cc162c590dc-92,This is the simpler problem of them all. 2
1cc162c590dc-93,which is the lightest of the two parcels. 3
1cc162c590dc-94,He is cleverer than I am. 4..
1cc162c590dc-95,I like this the best of the two.
1cc162c590dc-97,5. The flood became badder.
1cc162c590dc-98,as the rain increased.
1cc162c590dc-100,Page 127 5.
1cc162c590dc-101,"punctuate the following sentences using capital letters, full stops, commas."
1cc162c590dc-102,"Question marks apostrophe, exclamation mark wherever necessary. Dear Samir."
1cc162c590dc-104,commas
1cc162c590dc-105,I am sending you a photograph of my newest pet frisky. It's a bulldog.
1cc162c590dc-106,and a very playful puppy by next summer.
1cc162c590dc-107,It should be old enough to go with us on our long walks.
1cc162c590dc-108,I'm sure you are looking forward to seeing him. I know you will like him.
1cc162c590dc-109,Warm regards
1cc162c590dc-110,Sanju. 6
1cc162c590dc-111,Punctuate the following sentences. 1.
1cc162c590dc-112,"Next Wednesday, my sister Mita is going to join the state bank of India."
1cc162c590dc-113,The dog wangs its...
1cc162c590dc-114,Tail when it's pleased but a cat waves its tail when it's angry. 3
1cc162c590dc-115,When I went fishing I caught an old shoe a plastic bag and a bad cold. 4
1cc162c590dc-116,"She fed the baby, washed the dishes, put the lights off and went to sleep. 5..."
1cc162c590dc-117,Wasn't Tim Born on the 26th of January 1989.
1cc162c590dc-118,6
1cc162c590dc-119,"Oh no, the bus has gone."
1cc162c590dc-120,Let's find out.
1cc162c590dc-121,Fill in the blanks. 1
1cc162c590dc-122,A giant tree.
1cc162c590dc-123,Redwood trees of California. 2
1cc162c590dc-124,a giant bird.
1cc162c590dc-125,Blank
1cc162c590dc-126,3. A giant land animal
1cc162c590dc-127,blank
1cc162c590dc-128,4. A Giant Water Creature blank
1cc162c590dc-129,Page 128.
1cc162c590dc-130,5
1cc162c590dc-131,A giant reptile.
1cc162c590dc-132,Blank.
1cc162c590dc-133,6. A giant aeroplane
1cc162c590dc-134,Blank
1cc162c590dc-135,Find out some interesting facts about each of these giants and share them with the class.
1cc162c590dc-136,Creative Writing
1cc162c590dc-137,You woke up one morning and found yourself in the land of dwarves.
1cc162c590dc-138,Write a paragraph describing your experiences there.
1cc162c590dc-139,And how you got back home finally!
1cc162c590dc-140,You may begin like this.
1cc162c590dc-141,Everything around me looked different.
1cc162c590dc-142,and use this space for your creative writing.
1cc162c590dc-144,Let's crack a joke. Question
1cc162c590dc-145,What did the monster eat after the dentist pulled its tooth?
1cc162c590dc-146,Answer
1cc162c590dc-147,The dentist!
1cc162c590dc-148,hahahaha
d2e656de0bda-1,Page 77 Unit 7
d2e656de0bda-2,a kite
d2e656de0bda-3,Learn and enjoy this poem.
d2e656de0bda-4,I often sit and wish that I.
d2e656de0bda-5,Could be a kite up in the sky.
d2e656de0bda-6,and ride upon the breeze and go.
d2e656de0bda-7,Whichever way I chanced to blow.
d2e656de0bda-8,New words learnt in the poem. Blow.
d2e656de0bda-9,Breeze Chanced
d2e656de0bda-10,kite sit
d2e656de0bda-11,Let's read.
d2e656de0bda-12,I can fly a kite.
d2e656de0bda-13,I love to sit under a tree. Page
d2e656de0bda-14,78
d2e656de0bda-15,Reading is fun.
d2e656de0bda-16,What does the child wish to be?
d2e656de0bda-17,What does the child wish to do with the breeze?
d2e656de0bda-18,Let's talk!
d2e656de0bda-19,What would you like to be?
d2e656de0bda-20,Imagine you're a bird in the sky.
d2e656de0bda-21,Describe what you will feel when you see a kite flying near you.
d2e656de0bda-22,"Say, aloud."
d2e656de0bda-23,Bride
d2e656de0bda-24,cart kite
d2e656de0bda-25,Chance! Ride!
d2e656de0bda-26,dance
d2e656de0bda-27,Side Fast
d2e656de0bda-28,Sky
d2e656de0bda-29,part
d2e656de0bda-30,Do you know more words with these sounds?
d2e656de0bda-31,Let's share!
d2e656de0bda-32,What are the different things that fly in the sky?
d2e656de0bda-33,"If you had wings, where would you fly?"
d2e656de0bda-34,Trace on the rain patterns.
d2e656de0bda-35,Here you can see pictures of clouds slanted in various directions and drops coming out of them. Page.
d2e656de0bda-36,79
d2e656de0bda-37,Use the picture clues.
d2e656de0bda-38,to draw pictures of the day sky and night sky
d2e656de0bda-39,in the windows. Color the pictures.
d2e656de0bda-41,"Here in the picture you can see four patterns shown in the small windows. There are stars, there's a rainbow."
d2e656de0bda-42,There's Moon and the Sun.
d2e656de0bda-43,Use these patterns to fill the day sky in one picture where the baby is waking up.
d2e656de0bda-44,"And in another picture, use another pattern to show the night sky."
d2e656de0bda-45,where the baby is sleeping. You see them all.
d2e656de0bda-46,in the sky.
d2e656de0bda-47,Fill in the blanks by choosing words from the box.
d2e656de0bda-48,stars
d2e656de0bda-49,Sun
d2e656de0bda-50,Cloud
d2e656de0bda-51,Rainbow
d2e656de0bda-52,Moon
d2e656de0bda-53,Here you can see some pictures of...
d2e656de0bda-54,Sun
d2e656de0bda-55,Moon
d2e656de0bda-56,Cloud
d2e656de0bda-57,Rainbow
d2e656de0bda-58,stars
ed5590797795-1,page 80
ed5590797795-2,Sundari Read
ed5590797795-3,and enjoy this story.
ed5590797795-4,Sundari was a big?
ed5590797795-5,Red
ed5590797795-6,white
ed5590797795-7,and blue kite.
ed5590797795-8,"When Bobby made her, she smiled at him."
ed5590797795-10,You are beautiful.
ed5590797795-11,and I will call you Sundari.
ed5590797795-12,"He said, One day."
ed5590797795-13,Bobby took Sundari to the fair.
ed5590797795-14,The band was playing and everyone was smiling.
ed5590797795-15,A merry go round was playing a happy little tune.
ed5590797795-16,It was carrying lots of boys and girls round and round on its wooden animals. Bobby looked
